#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 20 09 00 238  1.5  2.3 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.0 99.0 99.00
2014 06 20 09 10 233  1.8  2.4 99.00 99.00 99.00 999 9999.0   5.3   3.1   5.1 99.0 99.00
2014 06 20 09 20 133  1.5  3.1 99.00 99.00 99.00 999 9999.0   5.6   3.1   5.6 99.0 99.00
2014 06 20 09 30  84  1.2  2.3 99.00 99.00 99.00 999 9999.0   6.1   3.1   5.9 99.0 99.00
2014 06 20 09 40  83  1.3  3.7 99.00 99.00 99.00 999 9999.0   5.8   3.0   5.6 99.0 99.00
2014 06 20 09 50  63  2.7  3.8 99.00 99.00 99.00 999 9999.0   5.5   3.1   5.3 99.0 99.00
2014 06 20 10 00  64  2.0  3.0 99.00 99.00 99.00 999 9999.0   5.3   3.1   5.0 99.0 99.00
2014 06 20 10 10  59  1.6  2.7 99.00 99.00 99.00 999 9999.0   5.3   3.0   5.0 99.0 99.00
2014 06 20 10 20  83  1.6  2.9 99.00 99.00 99.00 999 9999.0   5.2   3.1   4.8 99.0 99.00
2014 06 20 10 30  62  2.2  3.0 99.00 99.00 99.00 999 9999.0   5.0   3.1   4.7 99.0 99.00
2014 06 20 10 40  12  1.7  2.5 99.00 99.00 99.00 999 9999.0   5.1   3.1   4.8 99.0 99.00
2014 06 20 10 50  48  2.2  3.6 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.0 99.0 99.00
2014 06 20 11 00  66  4.1  5.7 99.00 99.00 99.00 999 9999.0   5.4   3.1   5.2 99.0 99.00
2014 06 20 11 10  59  2.4  4.2 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.0 99.0 99.00
2014 06 20 11 20  78  1.9  3.7 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.0 99.0 99.00
2014 06 20 11 30  90  2.9  4.4 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.0 99.0 99.00
2014 06 20 11 40  86  4.0  5.1 99.00 99.00 99.00 999 9999.0   5.1   3.0   5.0 99.0 99.00
2014 06 20 11 50  81  4.9  6.5 99.00 99.00 99.00 999 9999.0   5.1   3.0   5.1 99.0 99.00
2014 06 20 12 00  77  3.5  5.3 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 20 12 10  73  1.7  3.5 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 20 12 20  92  2.3  4.0 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 20 12 30  76  3.3  4.5 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 20 12 40  68  4.0  5.0 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 20 12 50 357  1.5  3.6 99.00 99.00 99.00 999 9999.0   4.8   3.0   4.7 99.0 99.00
2014 06 20 13 00 230  0.8  1.9 99.00 99.00 99.00 999 9999.0   4.9   3.0   4.9 99.0 99.00
2014 06 20 13 10   8  1.2  2.4 99.00 99.00 99.00 999 9999.0   5.5   3.1   5.5 99.0 99.00
2014 06 20 13 20   5  1.7  3.6 99.00 99.00 99.00 999 9999.0   5.6   3.1   5.7 99.0 99.00
2014 06 20 13 30  43  2.3  3.6 99.00 99.00 99.00 999 9999.0   5.7   3.1   5.8 99.0 99.00
2014 06 20 13 40  62  1.4  3.6 99.00 99.00 99.00 999 9999.0   5.6   3.1   5.6 99.0 99.00
2014 06 20 13 50  46  1.1  2.3 99.00 99.00 99.00 999 9999.0   5.3   3.1   5.3 99.0 99.00
2014 06 20 14 00  76  2.7  3.6 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 20 14 10  78  3.6  4.4 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
