#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 11 05 50  70  4.0   MM    MM    MM    MM  MM 1014.1   9.6   9.8   7.0   MM   MM    MM
2024 06 11 05 40  70  4.0   MM    MM    MM    MM  MM 1014.3   9.7   9.9   6.9   MM   MM    MM
2024 06 11 05 30  60  4.0   MM    MM    MM    MM  MM 1014.5  10.0   9.8   6.6   MM   MM    MM
2024 06 11 05 20  50  3.0   MM    MM    MM    MM  MM 1014.9  10.0   9.9   6.6   MM   MM    MM
2024 06 11 05 10  30  2.0   MM    MM    MM    MM  MM 1015.1  10.0   9.9   6.6   MM   MM    MM
2024 06 11 05 00  20  2.0   MM    MM    MM    MM  MM 1015.1  10.1   9.9   6.7   MM +0.3    MM
2024 06 11 04 50  10  2.0   MM    MM    MM    MM  MM 1014.9  10.4   9.9   6.8   MM   MM    MM
2024 06 11 04 40  70  3.0   MM    MM    MM    MM  MM 1014.7  10.3  10.0   6.8   MM   MM    MM
2024 06 11 04 30  60  3.0   MM    MM    MM    MM  MM 1014.7  10.4  10.0   6.7   MM   MM    MM
2024 06 11 04 20  70  4.0   MM    MM    MM    MM  MM 1014.6  10.4  10.0   6.6   MM   MM    MM
2024 06 11 04 10  50  3.0   MM    MM    MM    MM  MM 1014.8  10.3  10.1   6.7   MM   MM    MM
2024 06 11 04 00  60  4.0   MM    MM    MM    MM  MM 1014.7  10.1  10.1   6.8   MM +0.0    MM
2024 06 11 03 50  10  3.0   MM    MM    MM    MM  MM 1015.0  10.2  10.1   7.0   MM   MM    MM
2024 06 11 03 40  40  5.0   MM    MM    MM    MM  MM 1014.8  10.4  10.2   7.0   MM   MM    MM
2024 06 11 03 30  50  5.0   MM    MM    MM    MM  MM 1014.6  10.1  10.2   7.0   MM   MM    MM
2024 06 11 03 20  50  5.0   MM    MM    MM    MM  MM 1014.7   9.9  10.3   7.1   MM   MM    MM
2024 06 11 03 10  40  5.0   MM    MM    MM    MM  MM 1014.7   9.9  10.3   7.0   MM   MM    MM
2024 06 11 03 00  30  4.0   MM    MM    MM    MM  MM 1014.8   9.8  10.3   6.9   MM +0.0    MM
2024 06 11 02 50  30  5.0   MM    MM    MM    MM  MM 1014.8   9.7  10.4   6.9   MM   MM    MM
2024 06 11 02 40  10  4.0   MM    MM    MM    MM  MM 1014.9   9.6  10.4   7.3   MM   MM    MM
2024 06 11 02 30  10  3.0   MM    MM    MM    MM  MM 1014.8   9.6  10.4   7.5   MM   MM    MM
2024 06 11 02 20  20  4.0   MM    MM    MM    MM  MM 1014.6   9.4  10.4   7.4   MM   MM    MM
2024 06 11 02 10  10  4.0   MM    MM    MM    MM  MM 1014.7   9.1  10.4   7.3   MM   MM    MM
2024 06 11 02 00  10  4.0   MM    MM    MM    MM  MM 1014.8   9.7  10.4   7.6   MM -0.7    MM
2024 06 11 01 50 360  3.0   MM    MM    MM    MM  MM 1014.8  10.5  10.4   8.2   MM   MM    MM
2024 06 11 01 40  40  2.0   MM    MM    MM    MM  MM 1014.7  11.0  10.4   8.4   MM   MM    MM
2024 06 11 01 30  70  2.0   MM    MM    MM    MM  MM 1014.7  11.2  10.4   8.5   MM   MM    MM
2024 06 11 01 20  80  2.0   MM    MM    MM    MM  MM 1014.7  11.2  10.3   8.7   MM   MM    MM
2024 06 11 01 10 100  3.0   MM    MM    MM    MM  MM 1014.7  11.0  10.2   8.7   MM   MM    MM
2024 06 11 01 00 100  3.0   MM    MM    MM    MM  MM 1014.7  10.9  10.1   8.5   MM -1.5    MM
2024 06 11 00 50 100  3.0   MM    MM    MM    MM  MM 1014.8  11.0  10.1   8.1   MM   MM    MM
2024 06 11 00 40 110  3.0   MM    MM    MM    MM  MM 1014.9  11.0  10.0   8.5   MM   MM    MM
2024 06 11 00 30 100  3.0   MM    MM    MM    MM  MM 1014.7  10.8  10.0   8.1   MM   MM    MM
2024 06 11 00 20  90  3.0   MM    MM    MM    MM  MM 1014.7  10.9  10.0   7.8   MM   MM    MM
2024 06 11 00 10  70  3.0   MM    MM    MM    MM  MM 1014.8  11.1  10.0   7.6   MM   MM    MM
2024 06 11 00 00  70  3.0   MM    MM    MM    MM  MM 1014.9  11.1  10.0   7.7   MM -1.6    MM
2024 06 10 23 50  60  3.0   MM    MM    MM    MM  MM 1015.0  11.0  10.0   7.7   MM   MM    MM
2024 06 10 23 40  60  3.0   MM    MM    MM    MM  MM 1015.1  10.9   9.9   7.8   MM   MM    MM
2024 06 10 23 30  60  3.0   MM    MM    MM    MM  MM 1015.4  10.7   9.9   7.8   MM   MM    MM
2024 06 10 23 20  50  3.0   MM    MM    MM    MM  MM 1015.5  10.7   9.9   7.7   MM   MM    MM
2024 06 10 23 10  40  3.0   MM    MM    MM    MM  MM 1015.6  10.7  10.0   7.8   MM   MM    MM
2024 06 10 23 00  40  3.0   MM    MM    MM    MM  MM 1015.4  10.9  10.0   8.1   MM -1.7    MM
2024 06 10 22 50  40  3.0   MM    MM    MM    MM  MM 1015.4  11.2  10.1   8.0   MM   MM    MM
2024 06 10 22 40  60  4.0   MM    MM    MM    MM  MM 1015.7  11.2  10.1   8.0   MM   MM    MM
2024 06 10 22 30  60  4.0   MM    MM    MM    MM  MM 1015.9  11.2  10.1   8.0   MM   MM    MM
2024 06 10 22 20  60  3.0   MM    MM    MM    MM  MM 1016.0  11.3  10.1   8.0   MM   MM    MM
2024 06 10 22 10  70  4.0   MM    MM    MM    MM  MM 1016.1  11.1  10.2   7.7   MM   MM    MM
2024 06 10 22 00  80  4.0   MM    MM    MM    MM  MM 1016.2  11.1  10.4   7.5   MM -1.7    MM
2024 06 10 21 50  70  4.0   MM    MM    MM    MM  MM 1016.2  11.3  10.6   7.5   MM   MM    MM
2024 06 10 21 40  60  4.0   MM    MM    MM    MM  MM 1016.2  11.4  10.8   7.6   MM   MM    MM
2024 06 10 21 30  60  4.0   MM    MM    MM    MM  MM 1016.3  11.3  11.0   7.5   MM   MM    MM
2024 06 10 21 20  40  4.0   MM    MM    MM    MM  MM 1016.5  11.4  11.1   7.3   MM   MM    MM
2024 06 10 21 10  40  3.0   MM    MM    MM    MM  MM 1016.6  11.4  11.2   7.3   MM   MM    MM
